,filename
0,"Spiritualist - No.7, March 15th 1870 - P.20"
1,"Spiritualist - No.8, April 15 1870 - P.20"
2,"Spiritualist - No.9, May 15th 1870 - P.20"
3,"Spiritualist - No.14, October 15th 1870 - P.20"
4,"Spiritualist - No.17, January 15th 1871 - P.20"
5,"Spiritualist - No.21, May 15th 1871 - P.20"
6,"Spiritualist - No.26, October 15th 1871 - P.20"
7,"Spiritualist - No.29, January 15th 1872 - P.20"
8,"Spiritualist - No.32, April 15th 1872 - P.20"
9,"Spiritualist - No.38, October 15th 1872 - P.20"
10,"Spiritualist - No.39, November 1st 1872 - P.20"
11,"Spiritualist - No.40, November 15 1872 - P.20"
12,"Spiritualist - No.41, December 1st 1872 - P.20"
13,"Spiritualist - No.42, December 15th 1872 - P.20"
14,"Spiritualist - No.43, January 1st 1873 - P.20"
15,"Spiritualist - No.44, January 15th 1873 - P.20"
16,"Spiritualist - No.45, February 1st 1873 - P.20"
17,"Spiritualist - No.46, February 15th 1873 - P.20"
18,"Spiritualist - No.47, March 1st 1873 - P.20"
19,"Spiritualist - No.48, March 15th 1873 - P.20"
20,"Spiritualist - No.49, April 1st 1873 - P.20"
21,"Spiritualist - No.50, April 15th 1873 - P.20"
22,"Spiritualist - No.51, May 1st 1873 - P.20"
23,"Spiritualist - No.52, May 15th 1873 - P.20"
24,"Spiritualist - No.53, June 1st 1873 - P.20"
25,"Spiritualist - No.54, June 15th 1873 - P.20"
26,"Spiritualist - No.55, July 1st 1873 - P.20"
27,"Spiritualist - No.56, July 15th 1873 - P.20"
28,"Spiritualist - No.60, September 15th 1873 - P.20"
29,"Spiritualist - No.61, October 1st 1873 - P.20"
30,"Spiritualist - No.63, November 1st 1873 - P.20"
31,"Spiritualist - No.64, November 14th 1873 - P.20"
32,"Spiritualist - No.66, November 28th 1873 - P.20"
33,"Spiritualist newspaper - No.78, February 20th 1874 - P.20"
34,"Spiritualist newspaper - No.80, March 6th 1874 - P.20"
35,"Spiritualist newspaper - No.83, March 27th 1874 - P.20"
36,"Spiritualist newspaper - No.85, April 10th 1874 - P.20"
37,"Spiritualist newspaper - No.88, May 1st 1874 - P.20"
38,"Spiritualist newspaper - No.94, June 12th 1874 - P.20"
39,"Spiritualist newspaper - No.95, June 19th 1874 - P.20"
40,"Spiritualist newspaper - No.96, June 26th 1874 - P.20"
41,"Spiritualist newspaper - No.98, July 10th 1874 - P.20"
42,"Spiritualist newspaper - No.100, July 24th 1874 - P.20"
43,"Spiritualist newspaper - No.101, July 31st 1874 - P.20"
44,"Spiritualist newspaper - No.102, August 7th 1874 - P.20"
45,"Spiritualist newspaper - No.103, August 14th 1874 - P.20"
46,"Spiritualist newspaper - No.104, August 21st 1874 - P.20"
47,"Spiritualist newspaper - No.105, August 28th 1874 - P.20"
48,"Spiritualist newspaper - No.106, September 4th 1874 - P.20"
49,"Spiritualist newspaper - No.107, September 11th 1874 - P.20"
50,"Spiritualist newspaper - No.108, September 18th 1874 - P.20"
51,"Spiritualist newspaper - No.109, September 25th 1874 - P.20"
52,"Spiritualist newspaper - No.110, October 2nd 1874 - P.20"
53,"Spiritualist newspaper - No.111, October 9th 1874 - P.20"
54,"Spiritualist newspaper - No.112, October 16th 1874 - P.20"
55,"Spiritualist newspaper - No.113, October 23rd 1874 - P.20"
56,"Spiritualist newspaper - No.114, October 30th 1874 - P.20"
57,"Spiritualist newspaper - No.115, November 6th 1874 - P.20"
58,"Spiritualist newspaper - No.116, November 13th 1874 - P.20"
59,"Spiritualist newspaper - No.117, November 20th 1874 - P.20"
