,filename
0,"Spiritualist newspaper - No.133, March 12th 1875 - P.20"
1,"Spiritualist newspaper - No.195, May 19th 1876 - P.20"
2,"Spiritualist newspaper - No.196, May 26th 1876 - P.20"
3,"Spiritualist newspaper - No.197, June 2nd 1876 - P.20"
4,"Spiritualist newspaper - No.198, June 9th 1876 - P.20"
5,"Spiritualist newspaper - No.199, June 16th 1876 - P.20"
6,"Spiritualist newspaper - No.200, June 23rd 1876 - P.20"
7,"Spiritualist newspaper - No.201, June 30th 1876 - P.20"
8,"Spiritualist newspaper - No.202, July 7th 1876 - P.20"
9,"Spiritualist newspaper - No.203, July 14th 1876 - P.20"
10,"Spiritualist newspaper - No.204, July 21st 1876 - P.20"
11,"Spiritualist newspaper - No.205, July 28th 1876 - P.20"
12,"Spiritualist newspaper - No.206, August 4th 1876 - P.20"
13,"Spiritualist newspaper - No.207, August 11th 1876 - P.20"
14,"Spiritualist newspaper - No.208, August 18th 1876 - P.20"
15,"Spiritualist newspaper - No.209, August 25th 1876 - P.20"
16,"Spiritualist newspaper - No.210, September 1st 1876 - P.20"
17,"Spiritualist newspaper - No.211, September 8th 1876 - P.20"
18,"Spiritualist newspaper - No.212, September 15th 1876 - P.20"
19,"Spiritualist newspaper - No.213, September 22nd 1876 - P.20"
20,"Spiritualist newspaper - No.214, September 29th 1876 - P.20"
21,"Spiritualist newspaper - No.215, October 6th 1876 - P.20"
22,"Spiritualist newspaper - No.216, October 13th 1876 - P.20"
23,"Spiritualist newspaper - No.217, October 20th 1876 - P.20"
24,"Spiritualist newspaper - No.218, October 27th 1876 - P.20"
25,"Spiritualist newspaper - No.219, November 3rd 1876 - P.20"
26,"Spiritualist newspaper - No.220, November 10th 1876 - P.20"
27,"Spiritualist newspaper - No.221, November 17th 1876 - P.20"
28,"Spiritualist newspaper - No.222, November 24th 1876 - P.20"
29,"Spiritualist newspaper - No.223, December 1st 1876 - P.20"
30,"Spiritualist newspaper - No.224, December 8th 1876 - P.20"
31,"Spiritualist newspaper - No.225, December 15th 1876 - P.20"
32,"Spiritualist newspaper - No.226, December 22nd 1876 - P.20"
